x_m;y_m
11.7249;10.7606
11.6695;10.5684
11.5649;10.3980
11.4185;10.2616
11.2412;10.1692
11.0456;10.1274
10.8460;10.1392
10.6567;10.2039
10.4915;10.3166
10.3624;10.4694
10.2786;10.6510
10.2463;10.8484
10.2678;11.0472
10.3415;11.2331
10.4621;11.3927
10.6209;11.5143
10.8063;11.5892
11.0050;11.6119
11.2026;11.5808
11.3848;11.4982
11.5383;11.3701
11.6521;11.2056
11.7179;11.0168
11.7311;10.8172
11.6905;10.6213
11.5992;10.4434
11.4638;10.2962
11.2940;10.1905
11.1022;10.1339
10.9022;10.1304
10.7086;10.1804
10.5352;10.2802
10.3948;10.4225
10.2974;10.5972
10.2500;10.7915
10.2562;10.9914
10.3155;11.1825
10.4235;11.3508
10.5725;11.4842
10.7517;11.5730
10.9481;11.6109
11.1475;11.5951
11.3354;11.5267
11.4983;11.4106
11.6244;11.2553
11.7045;11.0721
11.7328;10.8741
11.7074;10.6757
11.6300;10.4913
11.5062;10.3342
11.3450;10.2158
11.1581;10.1446
10.9590;10.1259
10.7621;10.1609
10.5816;10.2471
10.4307;10.3783
10.3202;10.5450
10.2581;10.7352
10.2490;10.9350
10.2935;11.1299
10.3883;11.3060
10.5267;11.4505
10.6985;11.5528
10.8914;11.6056
11.0914;11.6050
11.2841;11.5513
11.4554;11.4482
11.5931;11.3031
11.6871;11.1266
11.7306;10.9314
11.7206;10.7316
11.6576;10.5418
11.5464;10.3756
11.3948;10.2451
11.2139;10.1598
11.0169;10.1257
10.8178;10.1454
10.6313;10.2174
10.4706;10.3366
10.3476;10.4943
10.2711;10.6791
10.2466;10.8775
10.2758;11.0754
10.3568;11.2583
10.4836;11.4129
10.6470;11.5282
10.8353;11.5957
11.0347;11.6106
11.2309;11.5718
11.4097;11.4821
11.5581;11.3480
11.6653;11.1792
11.7237;10.9879
11.7289;10.7880
11.6807;10.5939
11.5825;10.4197
11.4413;10.2779
11.2675;10.1790
11.0736;10.1299
10.8737;10.1343
10.6822;10.1919
10.5129;10.2984
